,Label
સંયુક્ત રાષ્ટ્રસંઘના વિશેષ દૂત રિચર્ડ બેનેટે અફઘાનિસ્તાનમાં તાજેતરના આતંકવાદી હુમલાની નિષ્પક્ષ તપાસની માંગ કરી https://t.co/ZkB3hwGJZD,Non-hostile
"કોઈ પણ સમાજને આગળ વધવા માટે જે પણ ક્ષેત્રે મદદની જરૂર પડે ત્યારે ગુજરાત સરકાર તેમની પડખે ઊભી રહેશે.

- મુખ્યમંત્રી શ્રી @Bhupendrapbjp https://t.co/UPKmtpAONQ",Non-hostile
"આતંકવાદી યાસિન મલિકને આજીવન કેદની સજા : ટેરર ફન્ડિંગ કેસમાં NIA કોર્ટનો ચુકાદો; 10 લાખનો દંડ પણ ફટકાર્યો

https://t.co/jTBBu0YZxq",Non-hostile
"▶️જમ્મુ કાશ્મીર - ભારતીય સેનાએ કુપવાડામાં 3 આતંકવાદી કર્યા ઠાર
#JammuAndKashmir https://t.co/C0kV8CUDu6",Non-hostile
@Tarun20tha મોદી પણ દેશ ચલાવે છે તો કેમ આતંકવાદી પ્રેજ્ઞા ઠાકોર કો સંસદ સભ્ય બનાવી છે,Non-hostile
આતંકવાદી યાસિન મલીકને NIA કોર્ટમાં રજૂ કરવામાં આવ્યો https://t.co/OMs9uAXQh9,Non-hostile
"@VCEGUJARATSTATE @Bhupendrapbjp @brijeshmeja1 @GujPRHDept @vmittra @ArvindKejriwal @Gopal_Italia @jagdishthakormp @INCIndia @BJP4Gujarat સરકાર આતંકવાદી માટે અડધી રાત્રે કોર્ટ ખોલાવી શકે 
સરકાર રાજકારણીઓ માટે મોંઘવારી ભથ્થા વધારી સકે 
સરકાર ઇ-ગ્રામ સોસાયટી",Non-hostile
આતંકી ફંડિંગ કેસમાં દોષિત આતંકવાદી યાસીન મલિકને આજે કોર્ટ સજા સંભળાવે તેવી શક્યતા https://t.co/yG0pIVn91e,Non-hostile
@bjpneelrao @CRPaatil @GJPATEL47 @narendramodi @MansukhbhaiMp @pradipsinhbjp આતંકવાદ વિરોધી દિવસના દિવસે આપણે આતંકવાદી હુમલામાં જીવ ગુમાવનારા તમામ સૈનિકો અને લોકોને સલામ અને શ્રદ્ધાંજલિ આપીએ.,Non-hostile
"આતંકવાદ્ધ વિરોધી દિવસ

ચાલો આપણે લોકોને ચાલી રહેલી આતંકવાદી ગતિવિધિઓ અને એ કૃત્યોને રોકવા માટે લઈ શકાતી સાવચેતીઓ વિષે જાગૃત કરીએ.

#dilipgohil#ExchairmanNPSS #dilipgohilbjp#bjpvadodara https://t.co/Bz7wrUCnRT",Non-hostile
@Nayanpatel230 @DhavalP67910501 @Tushar_4418 @BJP4Gujarat @RSSorg @BJP4India કોંગનાં નેતાઓને આતંકવાદી કહે પછી ભાજપામાં લે,Non-hostile
"ભગવાન શિવ અંગે અભદ્ર ટિપ્પણી અંગે કાર્યવાહી

અમદાવાદમાં #AIMIM નેતા દાનિશ કુરેશીની ધરપકડ

#GyanvapiSurvey #Gujarat",Non-hostile
Aantakvadi ki pream kahani nhi hoti 🙂,Non-hostile
"@rohitkumarmali @hdraval93 @GSTV_NEWS @devanshijoshi71 @golanihemant @SandhyaPanchal_ @sanghaviharsh @DixitGujarat @RonakABPAsmita @DevendraBhatn10 @ZarnaRajyaguru @sanghaviharsh @GujaratPolice @VikasSahayIPS ની નજર માં કદાચ આ લોકો આતંકવાદી હશે, અને નક્",Non-hostile
"રાષ્ટ્રીય આતંકવાદ વિરોધી દિવસ નિમિત્તે, ચાલો આપણે બધા આપણા દેશ અને સમગ્ર વિશ્વમાંથી માનવતાના ગુનાહિત આતંકવાદી તત્વોને નાબૂદ કરવાની પ્રતિજ્ઞા લઈએ. @rajeshchudasma @ManthanDabhi2 @Maheshn555 @sumitsagarka @DrPrashantkorat @Kiritbhai_Patel https://t.co/fsvBYt8jgg",Non-hostile
યાસીન મલિકની આતંકવાદી પ્રવૃત્તિઓમાં સામેલ હોવાની કબૂલાત https://t.co/7VtHW8e5Ez,Non-hostile
"BIG BREAKING | ટેરર ફંડિંગ કેસમાં આતંકવાદી યાસીન મલિક દોષિત જાહેર

#BigBreaking #Terrorfundingcase
#YasinMalik https://t.co/MET8pU4En6",Non-hostile
@VijayNilel @iamdipak77 બાપા ભાજપ જ્યારે ૨ સીટ હતી ને ત્યારે પણ કોઈ દિ આતંકવાદી ના સમર્થન મા નથી આવી અને કેજરુદિન થી લઈ ને ખોગરેસ થી તો તમે વ્યક્તિગત છો બરા બર ને,Non-hostile
#BREAKING : દિલ્હી સ્પેશિયલ @NIA_India કોર્ટે ટેરર ​​ફંડિંગ કેસમાં આતંકવાદી નેતા યાસીન મલિકને દોષિત ઠરાવ્યો,Non-hostile
"આતંકવાદી યાસીન મલિક ટેરર ​​ફંડિંગમાં દોષિત, NIAની સ્પેશિયલ કોર્ટ 25 મેએ સજા સંભળાવશે

https://t.co/mBiEud8Pe9",Non-hostile
"#પરિવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵

આમ આદમી પાર્ટી ની પરિવર્તન યાત્રા મા ગુજરાત ના ખૂણે ખૂણે ફરીને ગુજરાત ના હર એક આમ નાગરિકો નુ જન સમર્થન લેવાય રહ્યુ છે અંવિરત ધોમ ધખતા તાપમાં મા પણ લોકો આમ આદમી પાર્ટી ની પરિવર્તન યાત્રા ને ઉમળકાભેર આવકરી રહ્યા છે... https://t.co/w09CynR5oK",Non-hostile
"#પરિવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵
સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડુકની આગેવાનીમાં ચાલી રહેલી પરિવર્તન યાત્રાનું ઠેર ઠેર ઉમળકાભેર સ્વાગત. https://t.co/4dYW7EcXTl",Non-hostile
@JaydeepPatel28 @HardikPatel_ ગુજરાત ની જનતાને ન્યાય અપાવવા માટે લડતા તમામ ક્રાંતિકારી યુવાનો નું સ્વાગત કરવા માટે આમ આદમી પાર્ટી તૈયાર જ છે.,Non-hostile
@Gopal_Italia આમ આદમી પાર્ટી માં કોળી સમાજ નુ મહત્વ કેટલું ???,Non-hostile
"જે કોઈપણ એ આમ આદમી પાર્ટીની વિચારધારા સાથે જોડાવું હોય એ નીચે આપેલ નંબર પર મિસકોલ કરી સકે છે... આપનું સ્વાગત છે આમ આદમી પાર્ટી મા... કારણ કે હવે આપ આવે છે ગુજરાતમાં... 
#આમ_આદમી_પાર્ટી #AamAadmiParty #Gujarat @Gopal_Italia @isudan_gadhvi @AAPGujarat @ArvindKejriwal @GulabMatiala https://t.co/qwstivNc50",Non-hostile
"@HardikPatel_ હવે વતો બસ એક જ વિકલ્પ આમ આદમી પાર્ટી...
ગુજરાત મા આપ આવે છે...",Non-hostile
"#એક_મોકો_કેજરીવાલને 
#આમ_આદમી_પાર્ટી ... 🔵🔵🔵 https://t.co/E4MqwmFlrI",Non-hostile
"#પરિવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵🔵

પરિવર્તન યાત્રા દીવસ ચોથો ગામ_રાણાવાવ
જિલ્લો_પોરબંદર
@ઈશુદાનગઢવી https://t.co/Q2JsCMWOWH",Non-hostile
"ગુજરાતમાં વિધાનસભાની ચુંટણી માત્ર આમ આદમી પાર્ટી અને ભાજપ વચ્ચે છે. 

કોંગ્રેસ પાર્ટી હવે લડી શકે તેમ નથી, કોંગ્રેસ તૂટી ગઈ છે અને આખા દેશ સહિત ગુજરાતમાંથી પણ કોંગ્રેસ ખતમ થઈ ચુકી છે. 

ગુજરાતમાં આ વખતે ઈમાનદાર આમ આદમી પાર્ટીનો મજબુત વિકલ્પ હાજર છે. ગુજરાતમાં પરિવર્તન નક્કી છે.",Non-hostile
@NayanP111 @HardikPatel_ લોકો માટે લડત ચલાવતી આમ આદમી પાર્ટી મા જોડાય જાવ... ગુજરાતમાં આપ આવે છે.,Non-hostile
@Gopal_Italia આમ આદમી પાર્ટી ઍજ વિકલ્પ,Non-hostile
@priya_gujju @HirenVisa @RishtaM9 આમ આદમી પાર્ટી ની સરકાર આવી તો આવા લોકો પર કાર્યવાહી જરૂર કરશે ..,Non-hostile
@Gopal_Italia હવે તો બસ એક જ વિકલ્પ આમ આદમી પાર્ટી... ગુજરાત મા આપ આવે છે...,Non-hostile
"આમ આદમી પાર્ટી' ની સભામાં ભારે સંખ્યામાં ઉભરાયેલો ""જનસૈલાબ"" 🤣🤣🤣

@isudan_gadhvi @AAPGujarat @ArvindKejriwal @AamAadmiParty https://t.co/pB704vfDk8",Non-hostile
પંચમહાલ જિલ્લા આમ આદમી પાર્ટી ની કાર્યકર્તા બેઠક ગોધરા મુકામે યોજાઇ https://t.co/WKeS7BLUF0,Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵
ચોર્યાસી વિધાનસભાના બુડીયા ગામેથી ૐ બાલેશ્વર મહાદેવના દર્શન કરીને સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડુકની આગેવાનીમાં પરિવર્તન યાત્રાનો ચોથા દિવસ નો આરંભ https://t.co/hbIOwjSKo0",Non-hostile
"પરિવર્તન યાત્રા દિવસ - ૩

સિદ્ધપુર થી નીકળેલી @AAPGujarat ની #પરિવર્તન_યાત્રા વડાપ્રધાન ના વતન વડનગર ખાતે પહોંચી, ખુદ વડાપ્રધાન ના ગામની જનતા મોંઘવારી થી ત્રસ્ત છે, લોકો બદલાવ ઈચ્છી રહ્યા છે, આમ આદમી પાર્ટી ની વિચારધારા થકી પરિવર્તન શક્ય છે એવો ગ્રામજનો નો મંતવ્ય છે. https://t.co/gmFXnIOrdg",Non-hostile
ગુજરાતમાં ભ્રષ્ટાચારમુક્ત વ્યવસ્થા પરિવર્તનના સંકલ્પ સાથે આમ આદમી પાર્ટી સંઘર્ષના રસ્તે – https://t.co/hBEnaHYOLi,Non-hostile
"આજરોજ આમ આદમી પાર્ટી ની પરિવર્તન યાત્રા કચ્છના માંડવી તાલુકામાં હતી....
ત્યારે સાંજે માંડવી ના આઝાદ ચોકમાં એક જનસભા નું આયોજન કરવામાં આવ્યું હતું... જેમાં મોટી સંખ્યામાં લોકોએ હાજરી આપી હતી https://t.co/9qK7xjvcQd",Non-hostile
@ShapariaKetan બધું ફ્રી માં લઇ આપણી હાલત શ્રીલંકા વાળી કરવા આમ આદમી પાર્ટી ને વોટ આપો,Non-hostile
"#પરિવર્તન_યાત્રા નાં ત્રીજા દિવસે સારંગપુર વલસાડ ખાતે પહોંચી પ્રદેશ નેતાઓ દ્વારા રેલી, જનસભા અને જન સંપર્કનો કાર્યક્રમ યોજીને તેમના પ્રશ્નો સાંભળ્યા.

આવનાર દિવસોમાં આમ આદમી પાર્ટી લોકહિત માટેનાં પ્રશ્નો ઉઠાવશે અને જનતાને ન્યાય અપાવશે. https://t.co/pbUSGMOs4x",Non-hostile
"#પરીવર્તન_યાત્રા 
#આમ_આદમી_પાર્ટી... 🔵🔵
ચોર્યાસી વિધાનસભાના બુડીયા ગામેથી ૐ બાલેશ્વર મહાદેવના દર્શન કરીને સંગઠન મહામંત્રી શ્રી મનોજભાઈ સોરઠીયા, રાષ્ટ્રીય પરિષદ સદસ્ય (NC Member) શ્રી રાકેશ હિરપરા અને સંગઠન મંત્રી શ્રી રામભાઈ ધડુકની આગેવાનીમાં પરિવર્તન યાત્રાનો ચોથા દિવસ નો આરંભ https://t.co/23ADtFFHTT",Non-hostile
"ઈમાનદાર પાર્ટીના ઈમાનદાર નેતા..! આ છે ""આપ"" નેતા ગોપાલ ઈટાલીયાની સાદગી
#પરિવર્તન_યાત્રા દરમિયાન ગોપાલભાઈ પાર્ટીના પ્રદેશ અધ્યક્ષ હોવા છતાં હોટેલના બદલે ખુલ્લા ખેતરમાં સુઈ ગયા. આમ આદમી પાર્ટી નૅ જો તમે સપોર્ટ કરતા હોય તો આ પોસ્ટ ને વધુ ને વધુ શેર કરો. https://t.co/I6Rt2GuwP3",Non-hostile
"આમ આદમી પાર્ટીના કાર્યકર થી લઈને
આમ આદમી પાર્ટી ગુજરાતના ઉપાધ્યક્ષ
સુધીની રાજનીતિની શરૂઆતથી સફળ સફર કરનાર મહિલા શક્તિ 🎉🎉 @nimishakhunt જી ને જન્મદિવસ🎂ની ખૂબ ખૂબ શુભેચ્છાઓ.🎊🎊
@AAPGujarat https://t.co/zdMeXvScRY",Non-hostile
આમ આદમી પાર્ટી ને ગુજરાતમાં કોઈ ગાડી પણ આપતુ નથી જનતાનું સમર્થન પણ મળતુ નથી અને આને એક મોકો જોઈએ છે 😆😆 ઈશુંદાન ની રેલી https://t.co/4JalJhjaeg,Non-hostile
સેવા સત્તા ની ભૂખી નથી અને એ આમ આદમી પાર્ટી એ સાબિત કરી બતાવ્યું છે.,Non-hostile
"આજે વટવા વિધાનસભામાં જનસભા કાર્યક્રમ અંતગર્ત મોહલ્લા સભાનું આયોજન કરવામાં આવ્યું જેમાં ભરવાડ સમાજે સંપૂર્ણપણે આમ આદમી પાર્ટી ને સમર્થન આપ્યું. 

@AAPGujarat @Gopal_Italia @isudan_gadhvi @manoj_sorathiya 

#પરિવર્તન_યાત્રા https://t.co/JsWqVU7CJb",Non-hostile
"ખેતર માં ઉંઘતાંની એક્ટિંગ કરતો ફોટો..! નીચે બેસીને જમતા હોય તેવી નૌટંકી નો ફોટો. આ આમ આદમી પાર્ટી ની એ ગ્રેડ નૌટંકી પ્રજાને કહો કોઈક જઈને કે આ બધી નૌટંકી જૂની થઇ. કોઈ ઓસ્કાર નથી આપવાનું. અને ગુજરાત ની જનતાને બધું ખબર પડે છે. ગમે તેટલી સ્ક્રિપ્ટ બનાવો, ફિલ્મ તમારી ફ્લોપ જ થવાની.",Non-hostile
"#આમ_આદમી_પાર્ટી... 🔵🔵🔵
162-કરંજ વિધાનસભા મા ગામડું બેઠક અંતર્ગત રણજીત નગર સોસાયટી મા નુક્કડ સભા નુ આયોજન કરવામાં આવ્યું અને લોકો ને જાગૃત કરી #આમ_આદમી_પાર્ટી સાથે જોડવામાં આવ્યા.... https://t.co/8xNY6ilrkS",Non-hostile
