Text,Label,SubLabel
"ભ્રષ્ટ ભાજપના રાજમાં સરદાર પટેલના લોખંડી ગુજરાતમાં પાડોશી દેશોની તાકાત વધી..??

ક્યારેક આતંકવાદી હુમલાના કાવતરા પકડાય છે તો ક્યારેક ડ્રગ્સ..! 

ભાજપ સરકાર ગુજરાતની સીમા રક્ષણ કરવામાં નિષ્ફળ ગયી..?

@isudan_gadhvi @Gopal_Italia @GulabMatiala @SandeepPathak04 @HasanSafin https://t.co/9a9FNOiZqN",Hostile,Hate 
"@VtvGujarati આટલા બધા આતંકવાદી આવ્યા કયા થી ? ક્યાં ચૂક રહી ગઈ હતી
કાશ્મીર માં SF હોવા છતાં આ વું કેમ થાય છે",Hostile,Offensive 
"@Nayanpatel230 @iamdipak77 @Jigar151188 @RSSorg @BJP4India @Bittu2Fanii @CRPaatil @sanghaviharsh તારા જેવા મફતિયા સુવર જ આતંકવાદી બને છે, આતંકવાદી વિરોધી પાર્ટી છે એટલે જ બળતરા થાય છે તારા જેવા મુલ્લા ને🤣🤣",Hostile,Offensive 
@JayShre36136413 @iamdipak77 @Jigar151188 @RSSorg @BJP4India @Bittu2Fanii @CRPaatil @sanghaviharsh 2rs વાળા લુખાઓ તમને આતંકવાદી બનાવે ત્યારે બીજું કાંઈ શીખવાડતા નથી ? ગમે તે નપુંસક મોદી નો વિરોધ કરે એટલે એને વિરોધી પાટી નો કે મુલ્લો કાઈ ને બચાવ કરવા નો એવ,Hostile,Offensive 
"➡️ભારતે ઓર્ગેનાઈઝેશન ઓફ ઈસ્લામિક કોઓપરેશન- OICની માનવાધિકાર એજન્સી- આઈપીએચઆરસીની યાસીન મલિકને સજા કરવાના નિર્ણયની ટીકાની ટિપ્પણીને નકારી કાઢી. 

➡️આ ટિપ્પણી સાથે, OICના કાયમી માનવ અધિકાર પંચે યાસીન મલિકની આતંકવાદી પ્રવૃત્તિઓ માટે આડકતરી રીતે સમર્થન વ્યક્ત કર્યું છે - @MEAIndia https://t.co/kmgGzDKvZl",Hostile,Offensive 
"48 કલાકમાં કાશ્મીરી ટીવી એક્ટ્રેસના હત્યારા ઠાર : સેનાએ એન્કાઉન્ટરમાં 2 આતંકવાદીને કર્યા ઠાર, બંને સ્થાનિક આતંકવાદી હતા
https://t.co/uQswemTZ6u
#India | #IndianArmy | #Kashmir | #JammuAndKashmir | #JammuKashmir | #TVActress | #AmreenBhat https://t.co/dMI6nmEIPx",Hostile,Defamation 
"જમ્મુ કાશ્મીરઃ અનંતનાગ એન્કાઉન્ટરમાં 2 આતંકવાદી ઠાર મરાયા, સર્ચ ઓપરેશન હજુ પણ શરુ
#Jammukashmir #CGNews",Hostile,Offensive 
"@Divyaahirr ભણેલા નહી પણ ગણેલા તો છે, રાતે 2 વાગ્યે આતંકવાદી ને બચાવવા કોર્ટ તો નથી ખોલાવતા, અફઝલ જેવા આતંકવાદી ને જી કહીં ને સંબોધન તો નથી કરતા આવા હલકા વેળા કરવા કરતા તો અભણ સારા.",Hostile,Defamation 
યુએનના વડાએ અફઘાનિસ્તાન આતંકવાદી હુમલાની કરી નિંદા #UNChief #Afghanistan #Terrorist #TerroristAttack #ConnectGujarat #BeyondJustNews https://t.co/zrpKawX90l,Hostile,Offensive 
કાશ્મીરી અભિનેત્રી અમરીન ભટની હત્યા કરનારા બંને આતંકવાદી ઠાર https://t.co/gJ1sTnFy5A #amrinbhat #JammuAndKashmir,Hostile,Defamation 
"48 કલાકમાં કાશ્મીરી ટીવી એક્ટ્રેસના હત્યારા ઠાર : સેનાએ એન્કાઉન્ટરમાં 2 આતંકવાદીને કર્યા ઠાર, બંને સ્થાનિક આતંકવાદી હતા
#India | #IndianArmy | #Kashmir | #JammuAndKashmir | #JammuKashmir | #TVActress | #AmreenBhat 
https://t.co/0lY67N1Xbn",Hostile,Offensive 
@Divyaahirr સાચી વાત... પણ યાસીન મલિક જેવા આતંકવાદી સાથે મિત્રતા કરવા માટે ય આટલી ડીગ્રીની જરૂર પડી હશે...!,Hostile,Defamation 
"જમ્મુ કાશ્મીરઃ અનંતનાગ એન્કાઉન્ટરમાં 2 આતંકવાદી ઠાર મરાયા, સર્ચ ઓપરેશન હજુ પણ શરુ
#Jammukashmir",Hostile,Offensive 
"ટીવી એક્ટ્રેસ અમરીન ભટની હત્યાનો 24 કલાકમાં લીધો બદલો, જમ્મુ કાશ્મીરમાં સુરક્ષાદળોએ ઇસ્લામિક આતંકવાદી સંગઠન લશ્કરનાં 2 આતંકીઓને કર્યા ઠાર 

#securityforces #terrorists #JammuKashmir #kill https://t.co/6Pvlg8lCbX",Hostile,Offensive 
"દુઃખદ આંતક સામે દરેકે એક સ્વરમા બોલવુ જ પડશે. નહી તો આવા આતંકવાદીઓ એમને પણ નહી છોડે જે લોકો આવા ""આતંકીઓને કચડાયેલા,સતાવેલ,માસુમ,પોતાના અધિકાર માટે હથિયાર ઉઠાવે છે"" દરેક સ્તરે,દરેક લોકોએ આતંક નો અને આતંકવાદી ઓને પાડનાર પોષણ કરનાર નો વિરોધ કરવો પડશે અને તેમને ડામવા જ પડશે.",Hostile,Defamation 
@NobatDaily અલગાવ નહિ આતંકવાદી કહો. સાંતી દુતો થી ફાટતી લાગે છે,Hostile,
"સાંભળો કોંગ્રેસી ( આતંકવાદી ) અને પાપિયાવ 

અમે @BJP4India મા આ લાગણી અને સંબંધ જોયા છે.

એટલે દિવસ રાત ભારતીય જનતા પાર્ટી ને મત આપવા અને અપાવવા જી જાન થી મહેનત કરીએ છીએ.
@narendramodi",Hostile,Offensive 
"કશ્મીરના કુપવાડા જિલ્લામાં થયેલા એન્કાઉન્ટરમાં સુરક્ષા જવાનોએ ત્રણ આતંકવાદીને ઠાર કર્યા.
બડગામ જિલ્લામાં આતંકવાદીઓએ મહિલા ટીવી કલાકારની ગોળી મારીને હત્યા કરી.
https://t.co/AC9bjVEbng
#JammuKashmir #Encounter #Terrorists #જમ્મુકશ્મીર #ત્રાસવાદી #આતંકવાદી #એન્કાઉન્ટર https://t.co/utbm3Q13H6",Hostile,Offensive 
"કાશ્મીરઃ આતંકવાદીઓએ ટીવી અભિનેત્રીની ગોળી મારીને કરી હત્યા, ફાયરિંગમાં 10 વર્ષનો ભત્રીજો પણ ઘાયલ #jammukashmir #militants #જમ્મુકાશ્મીર #આતંકવાદી https://t.co/bkqOA8OT5r",Hostile,Defamation 
@Tarun20tha તે આંતકવાદી જાહેર થાયો 2017 માં પેલા કોણે ખબર હોય કે આ આતંકવાદી થશે કાલે તુ શુ કરે તે કોણે ખબર,Hostile,Offensive 
@journogujarati વાહ મુંબઈ સમાચાર વાહ... ધોળા દિવસે એરફોર્સ ના જવાનોની નૃશંસ હત્યા કરનારને આતંકવાદી કહેવાય અલગાવવાદી નહીં.,Hostile,Defamation 
યાસીન મલિકની સજાના વિરોધમાં થઈ શકે છે મોટો આતંકવાદી હુમલો https://t.co/LdP7VoKzde,Hostile,Offensive 
"Yasin Malik Case: યાસીન મલિકની સજાના વિરોધમાં થઈ શકે છે મોટો આતંકવાદી હુમલો, દિલ્હીમાં હાઈએલર્ટ 

#Kashmiriseparatist #YasinMalik #Terrorfundingcase #NIACourt 

https://t.co/jZ23KfXg8M",Hostile,Hate 
"ઘૂસણખોરીનો પ્રયાસ : કુપવાડામાં લશ્કરના 3 આતંકવાદી ઠાર , મોટી માત્રામાં હથિયારો અને દારૂગોળો મળી આવ્યો
#india #news #Todaysnews
https://t.co/zuyjz9VhPe",Hostile,Offensive 
"@RahulGandhi ન્યાયાલયે યાસીન મલિક નામના જેહાદી આતંકવાદી ભૂંડને આજીવન કારાવાસ ની સજા ફટકારી..
મૃત્યુદંડ આપો જેલમાં પુરીને ગદ્દારો ના પેટ હવે ક્યાં સુધી ભરીશું ? 😠😠 https://t.co/FpRSntrf5T",Hostile,Offensive 
@VtvGujarati @YASINMALIKJKLF અલગાવવાદી નહિ આતંકવાદી કયો તમારા બાપા ના દીકરા નથી,Hostile,Offensive 
"Jammu Kashmir: એન્કાઉન્ટરમાં માર્યા ગયા અભિનેત્રી અમરીનની હત્યા કરનારા 2 આતંકવાદી, 3 દિવસમાં 10 આતંકીઓનો ખાત્મો

#AmreenBhat #Encounter #IGPKashmir #JaishEMohammed #JammuKashmir

https://t.co/VEkiJ1PAZ1",Hostile,Offensive 
"Jammu &amp; Kashmir TV artist Amreen Bhat lost her life today. Terrorists fired upon one Amreen Bhat at her residence in Chadoora, Budgam today: J&amp;K Police

(Pic Source: Amreen Bhat's Instagram account) https://t.co/d218Cs8UMW",Hostile,Defamation 
"સરહદ પારથી આતંકવાદી હુમલાની યોજના, વાહનો પર નજર

https://t.co/VV4FK2r2MZ

#YasinMalik #LifeImprisonment #DelhiAlert",Hostile,Offensive 
"કાશ્મીરમાં આતંકવાદી હુમલો: બડગામમાં આતંકવાદીઓએ લોકપ્રિય કાશ્મીરી ટીવી કલાકાર અમરીનની ગોળી મારીને હત્યા કરી

અમરીન તેના ભત્રીજા સાથે ઘર બહાર ઊભી હતી ત્યારે લશ્કરના ત્રણ આતંકીઓએ તેના પર અંધાધૂંધ ફાયરિંગ કર્યું https://t.co/N8ZyPi34X6 #SanjSamachar",Hostile,Defamation 
"@yadavakhilesh ન્યાયાલયે યાસીન મલિક નામના જેહાદી આતંકવાદી ભૂંડને આજીવન કારાવાસ ની સજા ફટકારી..
મૃત્યુદંડ આપો જેલમાં પુરીને ગદ્દારો ના પેટ હવે ક્યાં સુધી ભરીશું ? 😠😠 https://t.co/otHPH30FiT",Hostile,Offensive 
"આતંકવાદી પણ ગાંધી ના નામે ચરી ખાવા ની કોશિશ કરે છે બોલો 

#YasinMalik",Hostile,Defamation 
"જમ્મુ અને કાશ્મીરમાં જૈશ-એ-મોહમ્મદના આતંકવાદી નેટવર્કનો પર્દાફાશ

આતંકવાદીઓને મદદ કરતા આઠ લોકોની પુલવામાના અવંતીપોરાથી ધરપકડ 

#JammuAndKashmir #News18gujarat #news",Hostile,Offensive 
આતંકવાદી #YasinMalik,Hostile,Defamation 
"આતંકવાદી યાસિન મલિકને આજીવન કેદની સજા : ટેરર ફન્ડિંગ કેસમાં NIA કોર્ટનો ચુકાદો; 10 લાખનો દંડ પણ ફટકાર્યો

https://t.co/jTBBu1h8Ly",Hostile,Offensive 
"#Dhakad નું અત્યાર સુધીનું જે કલેક્શન આવ્યું ને એના કરતાં ડબલ તો #KGF2 નું વાહન પાર્કિંગ કલેક્શન હશે.
દેશના ખેડૂત ને આતંકવાદી કીધું હતું ને.ભોગવવા તૈયાર જ રહેજે
#flopqueen",Hostile,Offensive 
દિલ્હીની NIA કોર્ટે આતંકવાદી યાસીન મલિકને આજીવન કેદની સજા આપી. યાસીન મલિકે 1990માં ભારતના ચાર નિહત્થા એરફોર્સ ઓફિસર્સની હત્યા ઉપરાંત અન્ય ગુના કર્યા હતા અને ખુલ્લે આમ તે વિશે ટીવી પર કહ્યું હતું જો કે તે કોંગ્રેસની સરકારના વર્ષો દરમિયાન મુક્ત ફરી રહ્યો હતો. https://t.co/oX1OQHvfe8,Hostile,Defamation 
"ભારતમાં બેઠેલા ‘હરામી’ લોકોને મહિને 10 લાખ રૂપિયા દાઉદ મોકલી રહ્યો છે!!
દાઉદ તેની પત્ની મહેજબીન સાથે કરાચીમાં રહેતા હોવાનો પુરાવો: ભાણીયાએ જ આપી કબૂલાત
આતંકવાદી દાઉદ ઈબ્રાહિમ જે હાલ પાકિસ્તાન સ્થિત છે, તે તેના ભાઈ-બહેનોને દર મહિને રૂ. ૧૦ લાખ રૂપિયા મોકલે છે. https://t.co/gi5Sv7gEWW",Hostile,Offensive 
"ન્યાયાલયે યાસીન મલિક નામના જેહાદી આતંકવાદી ભૂંડને આજીવન કારાવાસ ની સજા ફટકારી..
મૃત્યુદંડ આપો જેલમાં પુરીને ગદ્દારો ના પેટ હવે ક્યાં સુધી ભરીશું ? 😠😠 https://t.co/dq1LrDUKT3",Hostile,Defamation 
"દરમિયાન એરફોર્સના સ્કોડ્રન લીડર રવિ ખન્ના કે જેમની જેકેએલએફના આતંકવાદી યાસીન મલિકે 1990માં હત્યા કરી નાંખી હતી તેમની પત્ની નિર્મલ ખન્નાએ યાસીન માટે ફાંસીની સજા માંગી છે. 32 વર્ષથી તે પોતાના પતિ સહિતના એરફોર્સ ઓફિસર્સની હત્યા બદલ ન્યાયની રાહ જોઇ રહી છે.

https://t.co/pW2XxoCLYE",Hostile,Offensive 
"⏺️જમ્મુ-કાશ્મીરના બારામુલામાં 3 પાકિસ્તાની આતંકવાદી માર્યા ગયા

⏺️સુરક્ષા બળો અને આતંકવાદીઓ વચ્ચેની મુઠભેડમાં એક જવાન શહીદ

⏺️હથિયાર અને દારૂગોળા સહિત અનેક આપત્તિજનક સામગ્રી મળી આવી

#JammuKashmir #Baramulla #Terrorists https://t.co/NR1aDE9OcB",Hostile,Defamation 
"દેશની રાજધાની અને એનસીઆર આતંકવાદીઓના નિશાના પર છે, 
આતંકવાદી સંગઠનોના વડાઓએ સરહદ પારથી આતંકવાદી હુમલાની યોજના બનાવેલી છે
#YasinMalik
https://t.co/Ck2xjVIXT8",Hostile,Offensive 
"➡️ઈરાકના બે અલગ અલગ સ્થળોએ થયેલા આતંકવાદી હુમલામાં 12 ના મોત અને છ ને ઈજા થઈ

વિગતવાર સમાચાર વાંચવા માટે ક્લિક કરો...

https://t.co/TrbXapE5c2",Hostile,Offensive 
"@RahulGandhi ન્યાયાલયે યાસીન મલિક નામના જેહાદી આતંકવાદી ભૂંડને આજીવન કારાવાસ ની સજા ફટકારી..
મૃત્યુદંડ આપો જેલમાં પુરીને ગદ્દારો ના પેટ હવે ક્યાં સુધી ભરીશું ? 😠😠 https://t.co/9tmHVN9KVa",Hostile,Hate
"BIG NEWS: ટેરર ફંડિગ કેસમાં આતંકવાદી યાસીન મલિકને આજીવન કેદની સજા
#Delhi #NIAcourt https://t.co/e5MxCaounH",Hostile,Offensive 
@brijeshmeja1 આવા બધાં આઈડિયા આ નાલાયક નોન ગુજરાતી અધિકારીઓ સૂચવે છે એમણે જે ગામ બોલાવી દોડવા જોઇએ આવું ને આવું થયુ તો એ સમય દૂર નથી આતંકવાદી ઓ ભરતી ચાલુ કરશે ભારત માં,Hostile,Defamation 
"જમ્મુ કાશ્મીરઃ શ્રીનગરમાં આતંકવાદી હુમલો, પોલીસ કર્મચારી શહીદ, ફાયરિંગમાં દીકરી પણ ઇજાગ્રસ્ત
#JammuKashmir",Hostile,Offensive 
"▶️જમ્મુ-કાશ્મીર - બારામુલામાં 3 પાકિસ્તાની આતંકવાદી ઠાર
▶️અથડામણમાં ભારતીય સેનાનો એક જવાન પણ શહિદ
#JammuKashmir https://t.co/Grkw5Vp8Gn",Hostile,Defamation 
ગ્રીષ્મા હત્યા કેસ ને મુંબઈ આતંકવાદી હુમલો કરનાર કસબ કેસ જોડે સરખાવ્યો જુવો https://t.co/xsUnTlxrU7,Hostile,Offensive 
@devanshijoshi71 CNG વાળા આતંકવાદી છે ?,Hostile,Defamation 
@kpu123123 @DhavalP67910501 મહેબુબા મુફતી ન આતંકવાદી મસરત આલમ એ ભાજપાની જ પેદાઈશ હતી ને.,Hostile,Offensive 
"BIG NEWS: અમરનાથ યાત્રાને લઇને ધમકી, આતંકવાદી સંગઠન TRFનો સામે આવ્યો પત્ર

#AmarnathYatra2022 

https://t.co/Zzw5utL9Vb",Hostile,Defamation 
"ભારતમાં ISIનું આતંકવાદી કાવતરું : ઈન્ટેલિજન્સનું એલર્ટ - ISIએ રેલવે ટ્રેકને ઉડાવવા માટે સ્લીપર સેલને એક્ટિવ કર્યા; નિશાન પંજાબ પર
#India | #ISI | #Punjab | #RailwayTrack
https://t.co/9pcdTJs8Aq",Hostile,
"@JayShre36136413 મુંબઈ માં થયેલા તાજમહેલ આતંકવાદી હુમલા માં જે આરોપી પર કેસ ચાલ્યા, તેમા અનેક ધર્મ ના લોકો પર ચાર્જશીટ લગાવવા માં આવી હતી.",Hostile,Offensive 
"#Dhaakad 
- Amarnath Yatra 2022: અમરનાથ યાત્રા પહેલા આતંકવાદી સંગઠન TRFનો ધમકીભર્યો પત્ર, RSS અને કેન્દ્ર સરકાર પર સાધ્યું નિશાન 

https://t.co/DfrP1SHAxU",Hostile,Offensive 
